Resuming checkpoint: D:\AI\projects\e-phishGen\calculation\HWT-MGT\results\scaled_stratified_pool_8980_metrics.partial.json
Running 8980 samples on cuda
Stage causal_metrics: 0 samples pending
Stage perplexity: 0 samples pending
Stage uid: 101 samples pending
uid 1/101 HWT_027972
uid 2/101 HWT_059314
uid 3/101 HWT_060085
uid 4/101 HWT_013968
uid 5/101 HWT_015381
uid 6/101 HWT_018322
uid 7/101 HWT_021591
uid 8/101 HWT_022964
uid 9/101 HWT_024138
uid 10/101 HWT_026681
uid 11/101 HWT_027041
uid 12/101 HWT_036714
uid 13/101 HWT_008772
uid 14/101 HWT_023204
uid 15/101 HWT_024733
uid 16/101 HWT_024745
uid 17/101 HWT_026409
uid 18/101 HWT_026809
uid 19/101 HWT_037648
uid 20/101 HWT_040836
uid 21/101 HWT_049307
uid 22/101 HWT_050107
uid 23/101 HWT_010317
uid 24/101 HWT_027688
uid 25/101 HWT_037961
uid 26/101 HWT_042488
uid 27/101 HWT_049062
uid 28/101 HWT_015953
uid 29/101 HWT_009559
uid 30/101 HWT_008109
uid 31/101 HWT_007555
uid 32/101 HWT_009589
uid 33/101 HWT_036856
uid 34/101 HWT_026413
uid 35/101 HWT_003123
uid 36/101 HWT_006322
uid 37/101 HWT_015533
uid 38/101 HWT_015795
uid 39/101 HWT_016587
uid 40/101 HWT_019458
uid 41/101 HWT_019525
uid 42/101 HWT_019863
uid 43/101 HWT_020729
uid 44/101 HWT_020741
uid 45/101 HWT_023630
uid 46/101 HWT_025044
uid 47/101 HWT_026505
uid 48/101 HWT_027062
uid 49/101 HWT_034089
uid 50/101 HWT_034169
uid 51/101 HWT_038253
uid 52/101 HWT_039290
uid 53/101 HWT_043187
uid 54/101 HWT_043743
uid 55/101 HWT_045629
uid 56/101 HWT_058195
uid 57/101 HWT_081060
uid 58/101 HWT_088419
uid 59/101 HWT_001245
uid 60/101 HWT_031603
uid 61/101 HWT_032271
uid 62/101 HWT_048104
uid 63/101 HWT_049879
uid 64/101 HWT_054554
uid 65/101 HWT_058452
uid 66/101 HWT_076983
uid 67/101 HWT_094367
uid 68/101 HWT_040857
uid 69/101 HWT_047216
uid 70/101 HWT_067709
uid 71/101 HWT_068586
uid 72/101 HWT_077233
uid 73/101 HWT_078520
uid 74/101 HWT_087047
uid 75/101 HWT_068722
uid 76/101 HWT_072118
uid 77/101 HWT_082892
uid 78/101 HWT_083768
uid 79/101 HWT_007884
uid 80/101 HWT_066677
uid 81/101 HWT_065548
uid 82/101 HWT_006153
uid 83/101 HWT_035636
uid 84/101 HWT_076777
uid 85/101 HWT_106424
uid 86/101 HWT_002241
uid 87/101 HWT_047479
uid 88/101 HWT_067237
uid 89/101 HWT_000450
uid 90/101 HWT_002868
uid 91/101 HWT_043019
uid 92/101 HWT_049349
uid 93/101 HWT_077234
uid 94/101 HWT_086866
uid 95/101 HWT_093172
uid 96/101 HWT_097841
uid 97/101 HWT_098524
uid 98/101 HWT_100848
uid 99/101 HWT_101035
uid 100/101 HWT_101942
uid 101/101 MGT_014717
Stage embedding: 8920 samples pending
embedding 1/8920 HWT_013596
embedding 2/8920 HWT_013614
embedding 3/8920 HWT_013768
embedding 4/8920 HWT_013788
embedding 5/8920 HWT_013793
embedding 6/8920 HWT_013919
embedding 7/8920 HWT_014169
embedding 8/8920 HWT_014482
embedding 9/8920 HWT_014660
embedding 10/8920 HWT_015089
embedding 11/8920 HWT_015407
embedding 12/8920 HWT_015708
embedding 13/8920 HWT_016184
embedding 14/8920 HWT_016384
embedding 15/8920 HWT_016579
embedding 16/8920 HWT_016766
embedding 17/8920 HWT_016868
embedding 18/8920 HWT_017564
embedding 19/8920 HWT_017891
embedding 20/8920 HWT_018053
embedding 21/8920 HWT_018910
embedding 22/8920 HWT_018914
embedding 23/8920 HWT_019158
embedding 24/8920 HWT_019237
embedding 25/8920 HWT_019943
embedding 26/8920 HWT_020044
embedding 27/8920 HWT_020215
embedding 28/8920 HWT_020218
embedding 29/8920 HWT_020252
embedding 30/8920 HWT_020427
embedding 31/8920 HWT_021110
embedding 32/8920 HWT_021129
embedding 33/8920 HWT_021927
embedding 34/8920 HWT_021997
embedding 35/8920 HWT_022428
embedding 36/8920 HWT_022843
embedding 37/8920 HWT_023284
embedding 38/8920 HWT_024059
embedding 39/8920 HWT_024311
embedding 40/8920 HWT_024332
embedding 41/8920 HWT_024548
embedding 42/8920 HWT_024608
embedding 43/8920 HWT_024650
embedding 44/8920 HWT_024735
embedding 45/8920 HWT_024876
embedding 46/8920 HWT_024930
embedding 47/8920 HWT_025015
embedding 48/8920 HWT_025118
embedding 49/8920 HWT_025159
embedding 50/8920 HWT_025588
embedding 51/8920 HWT_025738
embedding 52/8920 HWT_025819
embedding 53/8920 HWT_026078
embedding 54/8920 HWT_026625
embedding 55/8920 HWT_026636
embedding 56/8920 HWT_026669
embedding 57/8920 HWT_026714
embedding 58/8920 HWT_026741
embedding 59/8920 HWT_026985
embedding 60/8920 HWT_027488
embedding 61/8920 HWT_027546
embedding 62/8920 HWT_027972
embedding 63/8920 HWT_028152
embedding 64/8920 HWT_028368
embedding 65/8920 HWT_028755
embedding 66/8920 HWT_029735
embedding 67/8920 HWT_029923
embedding 68/8920 HWT_030201
embedding 69/8920 HWT_030652
embedding 70/8920 HWT_031044
embedding 71/8920 HWT_031183
embedding 72/8920 HWT_031335
embedding 73/8920 HWT_031877
embedding 74/8920 HWT_031908
embedding 75/8920 HWT_032525
embedding 76/8920 HWT_032533
embedding 77/8920 HWT_032964
embedding 78/8920 HWT_034092
embedding 79/8920 HWT_034422
embedding 80/8920 HWT_034812
embedding 81/8920 HWT_034937
embedding 82/8920 HWT_034955
embedding 83/8920 HWT_035311
embedding 84/8920 HWT_035553
embedding 85/8920 HWT_035707
embedding 86/8920 HWT_036302
embedding 87/8920 HWT_036408
embedding 88/8920 HWT_036438
embedding 89/8920 HWT_036633
embedding 90/8920 HWT_037013
embedding 91/8920 HWT_037248
embedding 92/8920 HWT_037500
embedding 93/8920 HWT_037593
embedding 94/8920 HWT_037906
embedding 95/8920 HWT_038086
embedding 96/8920 HWT_038173
embedding 97/8920 HWT_038243
embedding 98/8920 HWT_038340
embedding 99/8920 HWT_038398
embedding 100/8920 HWT_038453
embedding 101/8920 HWT_038760
embedding 102/8920 HWT_038764
embedding 103/8920 HWT_038960
embedding 104/8920 HWT_038963
embedding 105/8920 HWT_039057
embedding 106/8920 HWT_039206
embedding 107/8920 HWT_039333
embedding 108/8920 HWT_039383
embedding 109/8920 HWT_039417
embedding 110/8920 HWT_039432
embedding 111/8920 HWT_039565
embedding 112/8920 HWT_039674
embedding 113/8920 HWT_040009
embedding 114/8920 HWT_040026
embedding 115/8920 HWT_040167
embedding 116/8920 HWT_041140
embedding 117/8920 HWT_041551
embedding 118/8920 HWT_042064
embedding 119/8920 HWT_042225
embedding 120/8920 HWT_042306
embedding 121/8920 HWT_042839
embedding 122/8920 HWT_043466
embedding 123/8920 HWT_043572
embedding 124/8920 HWT_043769
embedding 125/8920 HWT_044289
embedding 126/8920 HWT_045540
embedding 127/8920 HWT_046061
embedding 128/8920 HWT_046189
embedding 129/8920 HWT_046368
embedding 130/8920 HWT_049940
embedding 131/8920 HWT_049970
embedding 132/8920 HWT_050312
embedding 133/8920 HWT_050440
embedding 134/8920 HWT_050444
